	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.059	 0.203	39	Al2O3 - STANDARD	
	 0.204	 0.202	39	Al2O3 - STANDARD	
	 0.323	 0.202	39	Al2O3 - STANDARD	
	 0.482	 0.205	39	Al2O3 - STANDARD	
	 0.625	 0.207	39	Al2O3 - STANDARD	
	 0.774	 0.212	39	Al2O3 - STANDARD	
	 0.927	 0.219	39	Al2O3 - STANDARD	
	 1.074	 0.226	39	Al2O3 - STANDARD	
	 1.226	 0.233	39	Al2O3 - STANDARD	
	 1.375	 0.240	39	Al2O3 - STANDARD	
	 1.524	 0.247	39	Al2O3 - STANDARD	
	 1.675	 0.256	39	Al2O3 - STANDARD	
	 1.826	 0.260	39	Al2O3 - STANDARD	
	 2.049	 0.274	39	Al2O3 - STANDARD	
	 2.125	 0.275	39	Al2O3 - STANDARD	
	 2.274	 0.282	39	Al2O3 - STANDARD	
	 2.426	 0.287	39	Al2O3 - STANDARD	
	 2.574	 0.292	39	Al2O3 - STANDARD	
	 2.725	 0.298	39	Al2O3 - STANDARD	
	 2.874	 0.298	39	Al2O3 - STANDARD	
	 3.025	 0.304	39	Al2O3 - STANDARD	
	 3.176	 0.308	39	Al2O3 - STANDARD	
	 3.325	 0.316	39	Al2O3 - STANDARD	
	 3.473	 0.315	39	Al2O3 - STANDARD	
	 3.624	 0.319	39	Al2O3 - STANDARD	
	 3.774	 0.323	39	Al2O3 - STANDARD	
	 3.924	 0.323	39	Al2O3 - STANDARD	
	 4.074	 0.328	39	Al2O3 - STANDARD	
	 4.223	 0.328	39	Al2O3 - STANDARD	
	 4.375	 0.332	39	Al2O3 - STANDARD	
	 4.524	 0.333	39	Al2O3 - STANDARD	
	 4.673	 0.332	39	Al2O3 - STANDARD	
	 4.824	 0.339	39	Al2O3 - STANDARD	
	 4.976	 0.339	39	Al2O3 - STANDARD	
	 5.125	 0.339	39	Al2O3 - STANDARD	
	 5.275	 0.343	39	Al2O3 - STANDARD	
	 5.424	 0.343	39	Al2O3 - STANDARD	
	 5.577	 0.343	39	Al2O3 - STANDARD	
	 5.725	 0.343	39	Al2O3 - STANDARD	
	 5.876	 0.343	39	Al2O3 - STANDARD	
	 6.053	 0.344	39	Al2O3 - STANDARD	
	 6.175	 0.348	39	Al2O3 - STANDARD	
	 6.326	 0.348	39	Al2O3 - STANDARD	
	 6.474	 0.347	39	Al2O3 - STANDARD	
	 6.626	 0.348	39	Al2O3 - STANDARD	
	 6.776	 0.348	39	Al2O3 - STANDARD	
	 6.929	 0.348	39	Al2O3 - STANDARD	
	 7.074	 0.347	39	Al2O3 - STANDARD	
	 7.225	 0.347	39	Al2O3 - STANDARD	
	 7.373	 0.347	39	Al2O3 - STANDARD	
	 7.525	 0.347	39	Al2O3 - STANDARD	
	 7.673	 0.347	39	Al2O3 - STANDARD	
	 7.824	 0.347	39	Al2O3 - STANDARD	
	 8.054	 0.349	39	Al2O3 - STANDARD	
	 8.126	 0.347	39	Al2O3 - STANDARD	
	 8.274	 0.347	39	Al2O3 - STANDARD	
	 8.424	 0.347	39	Al2O3 - STANDARD	
	 8.575	 0.347	39	Al2O3 - STANDARD	
	 8.725	 0.347	39	Al2O3 - STANDARD	
	 8.874	 0.347	39	Al2O3 - STANDARD	
	 9.024	 0.348	39	Al2O3 - STANDARD	
	 9.177	 0.347	39	Al2O3 - STANDARD	
	 9.323	 0.347	39	Al2O3 - STANDARD	
	 9.476	 0.347	39	Al2O3 - STANDARD	
	 9.623	 0.348	39	Al2O3 - STANDARD	
	 9.774	 0.347	39	Al2O3 - STANDARD	
	 9.926	 0.347	39	Al2O3 - STANDARD	
	10.076	 0.348	39	Al2O3 - STANDARD	
	10.225	 0.348	39	Al2O3 - STANDARD	
	10.374	 0.348	39	Al2O3 - STANDARD	
	10.526	 0.348	39	Al2O3 - STANDARD	
	10.673	 0.352	39	Al2O3 - STANDARD	
	10.824	 0.352	39	Al2O3 - STANDARD	
	10.973	 0.352	39	Al2O3 - STANDARD	
	11.124	 0.352	39	Al2O3 - STANDARD	
	11.275	 0.352	39	Al2O3 - STANDARD	
