	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.075	 0.180	100	Al2O3 - STANDARD	
	 0.221	 0.179	100	Al2O3 - STANDARD	
	 0.373	 0.182	100	Al2O3 - STANDARD	
	 0.521	 0.184	100	Al2O3 - STANDARD	
	 0.670	 0.186	100	Al2O3 - STANDARD	
	 0.821	 0.191	100	Al2O3 - STANDARD	
	 0.973	 0.197	100	Al2O3 - STANDARD	
	 1.125	 0.205	100	Al2O3 - STANDARD	
	 1.270	 0.212	100	Al2O3 - STANDARD	
	 1.421	 0.219	100	Al2O3 - STANDARD	
	 1.572	 0.228	100	Al2O3 - STANDARD	
	 1.721	 0.233	100	Al2O3 - STANDARD	
	 1.870	 0.244	100	Al2O3 - STANDARD	
	 2.020	 0.251	100	Al2O3 - STANDARD	
	 2.170	 0.257	100	Al2O3 - STANDARD	
	 2.321	 0.260	100	Al2O3 - STANDARD	
	 2.472	 0.268	100	Al2O3 - STANDARD	
	 2.654	 0.277	100	Al2O3 - STANDARD	
	 2.771	 0.280	100	Al2O3 - STANDARD	
	 2.923	 0.283	100	Al2O3 - STANDARD	
	 3.070	 0.289	100	Al2O3 - STANDARD	
	 3.221	 0.294	100	Al2O3 - STANDARD	
	 3.372	 0.295	100	Al2O3 - STANDARD	
	 3.523	 0.303	100	Al2O3 - STANDARD	
	 3.670	 0.303	100	Al2O3 - STANDARD	
	 3.821	 0.308	100	Al2O3 - STANDARD	
	 3.971	 0.308	100	Al2O3 - STANDARD	
	 4.123	 0.312	100	Al2O3 - STANDARD	
	 4.272	 0.312	100	Al2O3 - STANDARD	
	 4.422	 0.316	100	Al2O3 - STANDARD	
	 4.646	 0.321	100	Al2O3 - STANDARD	
	 4.720	 0.319	100	Al2O3 - STANDARD	
	 4.870	 0.319	100	Al2O3 - STANDARD	
	 5.021	 0.319	100	Al2O3 - STANDARD	
	 5.170	 0.323	100	Al2O3 - STANDARD	
	 5.322	 0.323	100	Al2O3 - STANDARD	
	 5.471	 0.324	100	Al2O3 - STANDARD	
	 5.623	 0.324	100	Al2O3 - STANDARD	
	 5.770	 0.323	100	Al2O3 - STANDARD	
	 5.921	 0.333	100	Al2O3 - STANDARD	
	 6.072	 0.333	100	Al2O3 - STANDARD	
	 6.221	 0.333	100	Al2O3 - STANDARD	
	 6.371	 0.333	100	Al2O3 - STANDARD	
	 6.522	 0.333	100	Al2O3 - STANDARD	
	 6.671	 0.333	100	Al2O3 - STANDARD	
	 6.821	 0.333	100	Al2O3 - STANDARD	
	 6.972	 0.333	100	Al2O3 - STANDARD	
	 7.123	 0.333	100	Al2O3 - STANDARD	
	 7.271	 0.333	100	Al2O3 - STANDARD	
	 7.422	 0.333	100	Al2O3 - STANDARD	
	 7.571	 0.329	100	Al2O3 - STANDARD	
	 7.721	 0.329	100	Al2O3 - STANDARD	
	 7.872	 0.329	100	Al2O3 - STANDARD	
	 8.021	 0.329	100	Al2O3 - STANDARD	
	 8.172	 0.328	100	Al2O3 - STANDARD	
	 8.321	 0.328	100	Al2O3 - STANDARD	
	 8.470	 0.328	100	Al2O3 - STANDARD	
	 8.650	 0.330	100	Al2O3 - STANDARD	
	 8.771	 0.328	100	Al2O3 - STANDARD	
	 8.923	 0.328	100	Al2O3 - STANDARD	
	 9.072	 0.328	100	Al2O3 - STANDARD	
	 9.220	 0.328	100	Al2O3 - STANDARD	
	 9.370	 0.328	100	Al2O3 - STANDARD	
	 9.526	 0.332	100	Al2O3 - STANDARD	
	 9.671	 0.332	100	Al2O3 - STANDARD	
	 9.820	 0.332	100	Al2O3 - STANDARD	
	 9.970	 0.332	100	Al2O3 - STANDARD	
	10.121	 0.332	100	Al2O3 - STANDARD	
	10.270	 0.332	100	Al2O3 - STANDARD	
	10.422	 0.332	100	Al2O3 - STANDARD	
	10.651	 0.334	100	Al2O3 - STANDARD	
	10.719	 0.332	100	Al2O3 - STANDARD	
	10.870	 0.332	100	Al2O3 - STANDARD	
	11.022	 0.329	100	Al2O3 - STANDARD	
	11.171	 0.328	100	Al2O3 - STANDARD	
	11.320	 0.328	100	Al2O3 - STANDARD	
	11.472	 0.332	100	Al2O3 - STANDARD	
	11.620	 0.332	100	Al2O3 - STANDARD	
	11.771	 0.332	100	Al2O3 - STANDARD	
	11.920	 0.333	100	Al2O3 - STANDARD	
	12.071	 0.328	100	Al2O3 - STANDARD	
	12.221	 0.328	100	Al2O3 - STANDARD	
	12.370	 0.329	100	Al2O3 - STANDARD	
	12.520	 0.329	100	Al2O3 - STANDARD	
	12.669	 0.328	100	Al2O3 - STANDARD	
	12.821	 0.328	100	Al2O3 - STANDARD	
	12.972	 0.328	100	Al2O3 - STANDARD	
	13.122	 0.328	100	Al2O3 - STANDARD	
	13.270	 0.328	100	Al2O3 - STANDARD	
	13.421	 0.328	100	Al2O3 - STANDARD	
	13.570	 0.329	100	Al2O3 - STANDARD	
	13.722	 0.328	100	Al2O3 - STANDARD	
	13.871	 0.329	100	Al2O3 - STANDARD	
	14.021	 0.328	100	Al2O3 - STANDARD	
	14.172	 0.329	100	Al2O3 - STANDARD	
	14.321	 0.329	100	Al2O3 - STANDARD	
	14.470	 0.329	100	Al2O3 - STANDARD	
	14.644	 0.330	100	Al2O3 - STANDARD	
	14.769	 0.329	100	Al2O3 - STANDARD	
	14.921	 0.329	100	Al2O3 - STANDARD	
	15.072	 0.329	100	Al2O3 - STANDARD	
	15.221	 0.329	100	Al2O3 - STANDARD	
	15.372	 0.329	100	Al2O3 - STANDARD	
	15.525	 0.329	100	Al2O3 - STANDARD	
	15.671	 0.329	100	Al2O3 - STANDARD	
	15.821	 0.329	100	Al2O3 - STANDARD	
	15.972	 0.328	100	Al2O3 - STANDARD	
	16.122	 0.329	100	Al2O3 - STANDARD	
	16.269	 0.329	100	Al2O3 - STANDARD	
	16.422	 0.328	100	Al2O3 - STANDARD	
	16.685	 0.329	100	Al2O3 - STANDARD	
	16.720	 0.328	100	Al2O3 - STANDARD	
	16.871	 0.328	100	Al2O3 - STANDARD	
	17.021	 0.328	100	Al2O3 - STANDARD	
	17.171	 0.328	100	Al2O3 - STANDARD	
	17.321	 0.328	100	Al2O3 - STANDARD	
	17.473	 0.328	100	Al2O3 - STANDARD	
	17.620	 0.328	100	Al2O3 - STANDARD	
	17.772	 0.328	100	Al2O3 - STANDARD	
	17.923	 0.328	100	Al2O3 - STANDARD	
	18.072	 0.332	100	Al2O3 - STANDARD	
	18.221	 0.332	100	Al2O3 - STANDARD	
	18.371	 0.332	100	Al2O3 - STANDARD	
	18.520	 0.328	100	Al2O3 - STANDARD	
	18.670	 0.328	100	Al2O3 - STANDARD	
	18.820	 0.328	100	Al2O3 - STANDARD	
	18.970	 0.328	100	Al2O3 - STANDARD	
	19.121	 0.328	100	Al2O3 - STANDARD	
	19.271	 0.328	100	Al2O3 - STANDARD	
	19.421	 0.328	100	Al2O3 - STANDARD	
	19.571	 0.329	100	Al2O3 - STANDARD	
	19.722	 0.328	100	Al2O3 - STANDARD	
	19.871	 0.328	100	Al2O3 - STANDARD	
	20.020	 0.328	100	Al2O3 - STANDARD	
	20.171	 0.328	100	Al2O3 - STANDARD	
	20.321	 0.328	100	Al2O3 - STANDARD	
	20.471	 0.328	100	Al2O3 - STANDARD	
	20.650	 0.331	100	Al2O3 - STANDARD	
	20.771	 0.328	100	Al2O3 - STANDARD	
	20.919	 0.328	100	Al2O3 - STANDARD	
	21.072	 0.328	100	Al2O3 - STANDARD	
	21.221	 0.328	100	Al2O3 - STANDARD	
	21.373	 0.328	100	Al2O3 - STANDARD	
	21.523	 0.328	100	Al2O3 - STANDARD	
	21.669	 0.328	100	Al2O3 - STANDARD	
	21.821	 0.329	100	Al2O3 - STANDARD	
	21.971	 0.328	100	Al2O3 - STANDARD	
	22.121	 0.329	100	Al2O3 - STANDARD	
	22.272	 0.329	100	Al2O3 - STANDARD	
	22.420	 0.329	100	Al2O3 - STANDARD	
	22.647	 0.329	100	Al2O3 - STANDARD	
	22.720	 0.329	100	Al2O3 - STANDARD	
	22.873	 0.329	100	Al2O3 - STANDARD	
	23.020	 0.329	100	Al2O3 - STANDARD	
	23.171	 0.329	100	Al2O3 - STANDARD	
	23.321	 0.329	100	Al2O3 - STANDARD	
	23.471	 0.329	100	Al2O3 - STANDARD	
	23.622	 0.329	100	Al2O3 - STANDARD	
	23.772	 0.329	100	Al2O3 - STANDARD	
	23.920	 0.329	100	Al2O3 - STANDARD	
	24.070	 0.324	100	Al2O3 - STANDARD	
	24.222	 0.324	100	Al2O3 - STANDARD	
	24.372	 0.324	100	Al2O3 - STANDARD	
	24.521	 0.324	100	Al2O3 - STANDARD	
	24.671	 0.324	100	Al2O3 - STANDARD	
	24.821	 0.324	100	Al2O3 - STANDARD	
	24.972	 0.323	100	Al2O3 - STANDARD	
	25.120	 0.323	100	Al2O3 - STANDARD	
	25.271	 0.323	100	Al2O3 - STANDARD	
	25.421	 0.323	100	Al2O3 - STANDARD	
	25.570	 0.323	100	Al2O3 - STANDARD	
	25.721	 0.323	100	Al2O3 - STANDARD	
	25.870	 0.323	100	Al2O3 - STANDARD	
	26.019	 0.323	100	Al2O3 - STANDARD	
	26.171	 0.323	100	Al2O3 - STANDARD	
	26.320	 0.323	100	Al2O3 - STANDARD	
	26.471	 0.323	100	Al2O3 - STANDARD	
	26.650	 0.330	100	Al2O3 - STANDARD	
	26.770	 0.328	100	Al2O3 - STANDARD	
	26.921	 0.328	100	Al2O3 - STANDARD	
	27.072	 0.328	100	Al2O3 - STANDARD	
	27.221	 0.328	100	Al2O3 - STANDARD	
	27.370	 0.328	100	Al2O3 - STANDARD	
	27.522	 0.328	100	Al2O3 - STANDARD	
	27.671	 0.328	100	Al2O3 - STANDARD	
	27.820	 0.328	100	Al2O3 - STANDARD	
	27.971	 0.328	100	Al2O3 - STANDARD	
	28.122	 0.329	100	Al2O3 - STANDARD	
	28.272	 0.328	100	Al2O3 - STANDARD	
	28.423	 0.328	100	Al2O3 - STANDARD	
	28.645	 0.325	100	Al2O3 - STANDARD	
	28.723	 0.324	100	Al2O3 - STANDARD	
	28.872	 0.323	100	Al2O3 - STANDARD	
	29.021	 0.323	100	Al2O3 - STANDARD	
	29.172	 0.323	100	Al2O3 - STANDARD	
	29.319	 0.323	100	Al2O3 - STANDARD	
	29.470	 0.323	100	Al2O3 - STANDARD	
	29.622	 0.328	100	Al2O3 - STANDARD	
	29.773	 0.328	100	Al2O3 - STANDARD	
	29.920	 0.328	100	Al2O3 - STANDARD	
	30.069	 0.328	100	Al2O3 - STANDARD	
	30.221	 0.328	100	Al2O3 - STANDARD	
	30.371	 0.328	100	Al2O3 - STANDARD	
	30.521	 0.328	100	Al2O3 - STANDARD	
	30.671	 0.329	100	Al2O3 - STANDARD	
	30.822	 0.329	100	Al2O3 - STANDARD	
	30.971	 0.329	100	Al2O3 - STANDARD	
	31.122	 0.324	100	Al2O3 - STANDARD	
	31.272	 0.324	100	Al2O3 - STANDARD	
	31.421	 0.324	100	Al2O3 - STANDARD	
