	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.063	 0.343	50	TiO2 - STANDARD	
	 0.220	 0.344	50	TiO2 - STANDARD	
	 0.361	 0.343	50	TiO2 - STANDARD	
	 0.512	 0.343	50	TiO2 - STANDARD	
	 0.662	 0.343	50	TiO2 - STANDARD	
	 0.812	 0.343	50	TiO2 - STANDARD	
	 0.962	 0.343	50	TiO2 - STANDARD	
	 1.111	 0.343	50	TiO2 - STANDARD	
	 1.262	 0.343	50	TiO2 - STANDARD	
	 1.413	 0.343	50	TiO2 - STANDARD	
	 1.562	 0.343	50	TiO2 - STANDARD	
	 1.711	 0.342	50	TiO2 - STANDARD	
	 1.861	 0.342	50	TiO2 - STANDARD	
	 2.012	 0.342	50	TiO2 - STANDARD	
	 2.189	 0.344	50	TiO2 - STANDARD	
	 2.312	 0.342	50	TiO2 - STANDARD	
	 2.463	 0.342	50	TiO2 - STANDARD	
	 2.612	 0.342	50	TiO2 - STANDARD	
	 2.763	 0.342	50	TiO2 - STANDARD	
	 2.912	 0.342	50	TiO2 - STANDARD	
	 3.065	 0.342	50	TiO2 - STANDARD	
	 3.214	 0.342	50	TiO2 - STANDARD	
	 3.362	 0.342	50	TiO2 - STANDARD	
	 3.513	 0.342	50	TiO2 - STANDARD	
	 3.660	 0.342	50	TiO2 - STANDARD	
	 3.811	 0.342	50	TiO2 - STANDARD	
	 3.964	 0.342	50	TiO2 - STANDARD	
	 4.185	 0.345	50	TiO2 - STANDARD	
	 4.263	 0.342	50	TiO2 - STANDARD	
	 4.413	 0.342	50	TiO2 - STANDARD	
	 4.560	 0.343	50	TiO2 - STANDARD	
	 4.713	 0.343	50	TiO2 - STANDARD	
	 4.863	 0.342	50	TiO2 - STANDARD	
	 5.011	 0.342	50	TiO2 - STANDARD	
	 5.164	 0.343	50	TiO2 - STANDARD	
	 5.311	 0.343	50	TiO2 - STANDARD	
	 5.463	 0.343	50	TiO2 - STANDARD	
	 5.613	 0.342	50	TiO2 - STANDARD	
	 5.763	 0.343	50	TiO2 - STANDARD	
	 5.912	 0.342	50	TiO2 - STANDARD	
	 6.061	 0.342	50	TiO2 - STANDARD	
	 6.211	 0.342	50	TiO2 - STANDARD	
	 6.361	 0.342	50	TiO2 - STANDARD	
	 6.512	 0.343	50	TiO2 - STANDARD	
	 6.662	 0.343	50	TiO2 - STANDARD	
	 6.814	 0.342	50	TiO2 - STANDARD	
	 6.963	 0.343	50	TiO2 - STANDARD	
	 7.112	 0.343	50	TiO2 - STANDARD	
	 7.262	 0.343	50	TiO2 - STANDARD	
	 7.413	 0.343	50	TiO2 - STANDARD	
	 7.563	 0.343	50	TiO2 - STANDARD	
	 7.712	 0.343	50	TiO2 - STANDARD	
	 7.861	 0.344	50	TiO2 - STANDARD	
	 8.011	 0.343	50	TiO2 - STANDARD	
	 8.189	 0.344	50	TiO2 - STANDARD	
	 8.313	 0.343	50	TiO2 - STANDARD	
	 8.460	 0.343	50	TiO2 - STANDARD	
	 8.611	 0.343	50	TiO2 - STANDARD	
	 8.763	 0.343	50	TiO2 - STANDARD	
	 8.911	 0.343	50	TiO2 - STANDARD	
	 9.066	 0.343	50	TiO2 - STANDARD	
	 9.212	 0.343	50	TiO2 - STANDARD	
	 9.361	 0.342	50	TiO2 - STANDARD	
	 9.513	 0.343	50	TiO2 - STANDARD	
	 9.663	 0.343	50	TiO2 - STANDARD	
	 9.813	 0.343	50	TiO2 - STANDARD	
	 9.963	 0.343	50	TiO2 - STANDARD	
	10.190	 0.344	50	TiO2 - STANDARD	
	10.262	 0.342	50	TiO2 - STANDARD	
	10.411	 0.342	50	TiO2 - STANDARD	
	10.562	 0.342	50	TiO2 - STANDARD	
	10.711	 0.342	50	TiO2 - STANDARD	
	10.861	 0.342	50	TiO2 - STANDARD	
	11.014	 0.342	50	TiO2 - STANDARD	
	11.162	 0.342	50	TiO2 - STANDARD	
	11.310	 0.342	50	TiO2 - STANDARD	
	11.461	 0.342	50	TiO2 - STANDARD	
	11.612	 0.342	50	TiO2 - STANDARD	
	11.760	 0.343	50	TiO2 - STANDARD	
	11.911	 0.342	50	TiO2 - STANDARD	
	12.063	 0.342	50	TiO2 - STANDARD	
	12.211	 0.342	50	TiO2 - STANDARD	
	12.361	 0.342	50	TiO2 - STANDARD	
	12.512	 0.342	50	TiO2 - STANDARD	
	12.663	 0.343	50	TiO2 - STANDARD	
	12.813	 0.342	50	TiO2 - STANDARD	
	12.960	 0.342	50	TiO2 - STANDARD	
	13.111	 0.343	50	TiO2 - STANDARD	
	13.263	 0.343	50	TiO2 - STANDARD	
	13.411	 0.343	50	TiO2 - STANDARD	
	13.563	 0.342	50	TiO2 - STANDARD	
	13.713	 0.343	50	TiO2 - STANDARD	
	13.863	 0.342	50	TiO2 - STANDARD	
	14.012	 0.342	50	TiO2 - STANDARD	
	14.193	 0.345	50	TiO2 - STANDARD	
	14.312	 0.342	50	TiO2 - STANDARD	
	14.462	 0.342	50	TiO2 - STANDARD	
	14.611	 0.338	50	TiO2 - STANDARD	
	14.762	 0.338	50	TiO2 - STANDARD	
	14.911	 0.338	50	TiO2 - STANDARD	
	15.066	 0.338	50	TiO2 - STANDARD	
	15.212	 0.338	50	TiO2 - STANDARD	
	15.362	 0.342	50	TiO2 - STANDARD	
	15.513	 0.343	50	TiO2 - STANDARD	
	15.662	 0.343	50	TiO2 - STANDARD	
	15.812	 0.339	50	TiO2 - STANDARD	
	15.961	 0.339	50	TiO2 - STANDARD	
	16.196	 0.339	50	TiO2 - STANDARD	
	16.264	 0.339	50	TiO2 - STANDARD	
	16.412	 0.339	50	TiO2 - STANDARD	
	16.562	 0.339	50	TiO2 - STANDARD	
	16.712	 0.339	50	TiO2 - STANDARD	
	16.862	 0.339	50	TiO2 - STANDARD	
	17.011	 0.339	50	TiO2 - STANDARD	
	17.163	 0.339	50	TiO2 - STANDARD	
	17.311	 0.338	50	TiO2 - STANDARD	
	17.461	 0.338	50	TiO2 - STANDARD	
	17.613	 0.339	50	TiO2 - STANDARD	
	17.764	 0.339	50	TiO2 - STANDARD	
	17.913	 0.339	50	TiO2 - STANDARD	
	18.061	 0.338	50	TiO2 - STANDARD	
	18.212	 0.339	50	TiO2 - STANDARD	
	18.363	 0.338	50	TiO2 - STANDARD	
	18.513	 0.338	50	TiO2 - STANDARD	
	18.663	 0.338	50	TiO2 - STANDARD	
	18.812	 0.338	50	TiO2 - STANDARD	
	18.961	 0.338	50	TiO2 - STANDARD	
	19.112	 0.337	50	TiO2 - STANDARD	
	19.263	 0.338	50	TiO2 - STANDARD	
	19.413	 0.337	50	TiO2 - STANDARD	
	19.563	 0.337	50	TiO2 - STANDARD	
	19.712	 0.338	50	TiO2 - STANDARD	
	19.862	 0.342	50	TiO2 - STANDARD	
	20.012	 0.342	50	TiO2 - STANDARD	
	20.197	 0.344	50	TiO2 - STANDARD	
	20.312	 0.343	50	TiO2 - STANDARD	
	20.462	 0.342	50	TiO2 - STANDARD	
	20.611	 0.342	50	TiO2 - STANDARD	
	20.762	 0.343	50	TiO2 - STANDARD	
	20.913	 0.343	50	TiO2 - STANDARD	
	21.065	 0.342	50	TiO2 - STANDARD	
	21.210	 0.343	50	TiO2 - STANDARD	
	21.363	 0.343	50	TiO2 - STANDARD	
	21.512	 0.342	50	TiO2 - STANDARD	
	21.662	 0.342	50	TiO2 - STANDARD	
	21.813	 0.339	50	TiO2 - STANDARD	
	21.961	 0.339	50	TiO2 - STANDARD	
	22.186	 0.340	50	TiO2 - STANDARD	
	22.263	 0.338	50	TiO2 - STANDARD	
	22.412	 0.338	50	TiO2 - STANDARD	
	22.560	 0.338	50	TiO2 - STANDARD	
	22.710	 0.338	50	TiO2 - STANDARD	
	22.864	 0.338	50	TiO2 - STANDARD	
	23.013	 0.338	50	TiO2 - STANDARD	
	23.163	 0.338	50	TiO2 - STANDARD	
	23.312	 0.342	50	TiO2 - STANDARD	
	23.462	 0.343	50	TiO2 - STANDARD	
	23.610	 0.343	50	TiO2 - STANDARD	
	23.764	 0.343	50	TiO2 - STANDARD	
	23.911	 0.343	50	TiO2 - STANDARD	
	24.060	 0.343	50	TiO2 - STANDARD	
	24.211	 0.343	50	TiO2 - STANDARD	
	24.362	 0.343	50	TiO2 - STANDARD	
	24.511	 0.343	50	TiO2 - STANDARD	
	24.663	 0.343	50	TiO2 - STANDARD	
	24.811	 0.344	50	TiO2 - STANDARD	
	24.960	 0.343	50	TiO2 - STANDARD	
	25.113	 0.343	50	TiO2 - STANDARD	
	25.261	 0.343	50	TiO2 - STANDARD	
	25.411	 0.339	50	TiO2 - STANDARD	
	25.562	 0.339	50	TiO2 - STANDARD	
	25.713	 0.339	50	TiO2 - STANDARD	
	25.861	 0.343	50	TiO2 - STANDARD	
	26.011	 0.342	50	TiO2 - STANDARD	
	26.189	 0.344	50	TiO2 - STANDARD	
	26.314	 0.339	50	TiO2 - STANDARD	
	26.462	 0.338	50	TiO2 - STANDARD	
	26.612	 0.338	50	TiO2 - STANDARD	
	26.762	 0.338	50	TiO2 - STANDARD	
	26.912	 0.338	50	TiO2 - STANDARD	
	27.066	 0.338	50	TiO2 - STANDARD	
	27.211	 0.338	50	TiO2 - STANDARD	
	27.362	 0.338	50	TiO2 - STANDARD	
	27.511	 0.338	50	TiO2 - STANDARD	
	27.662	 0.337	50	TiO2 - STANDARD	
	27.811	 0.338	50	TiO2 - STANDARD	
	27.964	 0.338	50	TiO2 - STANDARD	
	28.191	 0.340	50	TiO2 - STANDARD	
	28.262	 0.338	50	TiO2 - STANDARD	
	28.413	 0.342	50	TiO2 - STANDARD	
	28.562	 0.342	50	TiO2 - STANDARD	
	28.713	 0.343	50	TiO2 - STANDARD	
	28.862	 0.339	50	TiO2 - STANDARD	
	29.011	 0.338	50	TiO2 - STANDARD	
	29.162	 0.338	50	TiO2 - STANDARD	
	29.311	 0.338	50	TiO2 - STANDARD	
	29.461	 0.338	50	TiO2 - STANDARD	
	29.611	 0.338	50	TiO2 - STANDARD	
	29.762	 0.339	50	TiO2 - STANDARD	
	29.911	 0.341	50	TiO2 - STANDARD	
	30.062	 0.338	50	TiO2 - STANDARD	
	30.211	 0.338	50	TiO2 - STANDARD	
	30.361	 0.338	50	TiO2 - STANDARD	
	30.511	 0.338	50	TiO2 - STANDARD	
	30.664	 0.338	50	TiO2 - STANDARD	
	30.811	 0.338	50	TiO2 - STANDARD	
	30.961	 0.338	50	TiO2 - STANDARD	
	31.112	 0.338	50	TiO2 - STANDARD	
	31.261	 0.338	50	TiO2 - STANDARD	
	31.411	 0.338	50	TiO2 - STANDARD	
	31.562	 0.338	50	TiO2 - STANDARD	
	31.712	 0.338	50	TiO2 - STANDARD	
	31.862	 0.338	50	TiO2 - STANDARD	
	32.012	 0.339	50	TiO2 - STANDARD	
	32.193	 0.339	50	TiO2 - STANDARD	
	32.310	 0.339	50	TiO2 - STANDARD	
	32.462	 0.339	50	TiO2 - STANDARD	
	32.612	 0.339	50	TiO2 - STANDARD	
	32.761	 0.339	50	TiO2 - STANDARD	
	32.912	 0.339	50	TiO2 - STANDARD	
	33.066	 0.339	50	TiO2 - STANDARD	
	33.212	 0.339	50	TiO2 - STANDARD	
	33.361	 0.339	50	TiO2 - STANDARD	
	33.514	 0.339	50	TiO2 - STANDARD	
	33.664	 0.339	50	TiO2 - STANDARD	
	33.813	 0.339	50	TiO2 - STANDARD	
	33.962	 0.339	50	TiO2 - STANDARD	
	34.195	 0.340	50	TiO2 - STANDARD	
	34.263	 0.339	50	TiO2 - STANDARD	
	34.413	 0.338	50	TiO2 - STANDARD	
	34.562	 0.338	50	TiO2 - STANDARD	
	34.712	 0.338	50	TiO2 - STANDARD	
	34.862	 0.338	50	TiO2 - STANDARD	
	35.012	 0.338	50	TiO2 - STANDARD	
	35.164	 0.338	50	TiO2 - STANDARD	
	35.310	 0.338	50	TiO2 - STANDARD	
	35.461	 0.338	50	TiO2 - STANDARD	
	35.613	 0.337	50	TiO2 - STANDARD	
	35.761	 0.338	50	TiO2 - STANDARD	
	35.913	 0.338	50	TiO2 - STANDARD	
	36.061	 0.338	50	TiO2 - STANDARD	
	36.212	 0.338	50	TiO2 - STANDARD	
	36.362	 0.338	50	TiO2 - STANDARD	
	36.513	 0.338	50	TiO2 - STANDARD	
	36.663	 0.338	50	TiO2 - STANDARD	
	36.811	 0.339	50	TiO2 - STANDARD	
	36.961	 0.338	50	TiO2 - STANDARD	
	37.110	 0.338	50	TiO2 - STANDARD	
	37.261	 0.338	50	TiO2 - STANDARD	
	37.413	 0.339	50	TiO2 - STANDARD	
	37.561	 0.338	50	TiO2 - STANDARD	
	37.714	 0.338	50	TiO2 - STANDARD	
	37.864	 0.339	50	TiO2 - STANDARD	
	38.013	 0.339	50	TiO2 - STANDARD	
	38.192	 0.341	50	TiO2 - STANDARD	
	38.313	 0.338	50	TiO2 - STANDARD	
	38.460	 0.338	50	TiO2 - STANDARD	
	38.611	 0.338	50	TiO2 - STANDARD	
	38.761	 0.338	50	TiO2 - STANDARD	
	38.911	 0.338	50	TiO2 - STANDARD	
	39.069	 0.339	50	TiO2 - STANDARD	
	39.211	 0.338	50	TiO2 - STANDARD	
	39.361	 0.338	50	TiO2 - STANDARD	
	39.512	 0.338	50	TiO2 - STANDARD	
	39.662	 0.339	50	TiO2 - STANDARD	
	39.814	 0.338	50	TiO2 - STANDARD	
	39.962	 0.339	50	TiO2 - STANDARD	
