	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.070	 0.171	50	MV standard Al2O3 4wtr pulse first 80deg	
	 0.341	 0.172	50	MV standard Al2O3 4wtr pulse first 80deg	
	 0.369	 0.171	50	MV standard Al2O3 4wtr pulse first 80deg	
	 0.520	 0.173	50	MV standard Al2O3 4wtr pulse first 80deg	
	 0.677	 0.178	50	MV standard Al2O3 4wtr pulse first 80deg	
	 0.821	 0.181	50	MV standard Al2O3 4wtr pulse first 80deg	
	 0.970	 0.186	50	MV standard Al2O3 4wtr pulse first 80deg	
	 1.120	 0.191	50	MV standard Al2O3 4wtr pulse first 80deg	
	 1.270	 0.199	50	MV standard Al2O3 4wtr pulse first 80deg	
	 1.421	 0.204	50	MV standard Al2O3 4wtr pulse first 80deg	
	 1.573	 0.214	50	MV standard Al2O3 4wtr pulse first 80deg	
	 1.720	 0.219	50	MV standard Al2O3 4wtr pulse first 80deg	
	 1.870	 0.227	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.022	 0.233	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.171	 0.244	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.322	 0.247	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.470	 0.254	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.622	 0.257	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.771	 0.264	50	MV standard Al2O3 4wtr pulse first 80deg	
	 2.921	 0.267	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.071	 0.276	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.221	 0.276	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.371	 0.283	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.521	 0.286	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.669	 0.286	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.822	 0.290	50	MV standard Al2O3 4wtr pulse first 80deg	
	 3.972	 0.295	50	MV standard Al2O3 4wtr pulse first 80deg	
	 4.120	 0.295	50	MV standard Al2O3 4wtr pulse first 80deg	
	 4.295	 0.299	50	MV standard Al2O3 4wtr pulse first 80deg	
	 4.420	 0.298	50	MV standard Al2O3 4wtr pulse first 80deg	
	 4.571	 0.298	50	MV standard Al2O3 4wtr pulse first 80deg	
	 4.721	 0.303	50	MV standard Al2O3 4wtr pulse first 80deg	
	 4.872	 0.303	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.021	 0.303	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.173	 0.307	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.320	 0.307	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.472	 0.307	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.621	 0.311	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.771	 0.311	50	MV standard Al2O3 4wtr pulse first 80deg	
	 5.923	 0.315	50	MV standard Al2O3 4wtr pulse first 80deg	
	 6.070	 0.315	50	MV standard Al2O3 4wtr pulse first 80deg	
	 6.294	 0.316	50	MV standard Al2O3 4wtr pulse first 80deg	
	 6.370	 0.315	50	MV standard Al2O3 4wtr pulse first 80deg	
	 6.521	 0.314	50	MV standard Al2O3 4wtr pulse first 80deg	
