	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.025	 0.198	100	TiO2 - STANDARD	
	 0.174	 0.198	100	TiO2 - STANDARD	
	 0.325	 0.200	100	TiO2 - STANDARD	
	 0.481	 0.200	100	TiO2 - STANDARD	
	 0.625	 0.205	100	TiO2 - STANDARD	
	 0.777	 0.208	100	TiO2 - STANDARD	
	 0.926	 0.213	100	TiO2 - STANDARD	
	 1.078	 0.222	100	TiO2 - STANDARD	
	 1.226	 0.228	100	TiO2 - STANDARD	
	 1.375	 0.237	100	TiO2 - STANDARD	
	 1.525	 0.245	100	TiO2 - STANDARD	
	 1.679	 0.255	100	TiO2 - STANDARD	
	 1.826	 0.260	100	TiO2 - STANDARD	
	 1.976	 0.267	100	TiO2 - STANDARD	
	 2.127	 0.275	100	TiO2 - STANDARD	
	 2.274	 0.280	100	TiO2 - STANDARD	
	 2.424	 0.286	100	TiO2 - STANDARD	
	 2.574	 0.290	100	TiO2 - STANDARD	
	 2.726	 0.298	100	TiO2 - STANDARD	
	 2.876	 0.307	100	TiO2 - STANDARD	
	 3.028	 0.307	100	TiO2 - STANDARD	
	 3.177	 0.315	100	TiO2 - STANDARD	
	 3.325	 0.315	100	TiO2 - STANDARD	
	 3.475	 0.319	100	TiO2 - STANDARD	
	 3.653	 0.325	100	TiO2 - STANDARD	
	 3.776	 0.328	100	TiO2 - STANDARD	
	 3.927	 0.328	100	TiO2 - STANDARD	
	 4.077	 0.332	100	TiO2 - STANDARD	
	 4.227	 0.332	100	TiO2 - STANDARD	
	 4.375	 0.339	100	TiO2 - STANDARD	
	 4.530	 0.338	100	TiO2 - STANDARD	
	 4.677	 0.342	100	TiO2 - STANDARD	
	 4.825	 0.343	100	TiO2 - STANDARD	
	 4.976	 0.342	100	TiO2 - STANDARD	
	 5.126	 0.343	100	TiO2 - STANDARD	
	 5.275	 0.352	100	TiO2 - STANDARD	
	 5.426	 0.352	100	TiO2 - STANDARD	
	 5.653	 0.354	100	TiO2 - STANDARD	
	 5.725	 0.352	100	TiO2 - STANDARD	
	 5.875	 0.351	100	TiO2 - STANDARD	
	 6.026	 0.352	100	TiO2 - STANDARD	
	 6.175	 0.352	100	TiO2 - STANDARD	
	 6.325	 0.356	100	TiO2 - STANDARD	
	 6.476	 0.356	100	TiO2 - STANDARD	
	 6.627	 0.356	100	TiO2 - STANDARD	
	 6.775	 0.356	100	TiO2 - STANDARD	
	 6.924	 0.352	100	TiO2 - STANDARD	
	 7.076	 0.352	100	TiO2 - STANDARD	
	 7.224	 0.352	100	TiO2 - STANDARD	
	 7.377	 0.353	100	TiO2 - STANDARD	
	 7.526	 0.353	100	TiO2 - STANDARD	
	 7.676	 0.353	100	TiO2 - STANDARD	
	 7.825	 0.357	100	TiO2 - STANDARD	
	 7.976	 0.357	100	TiO2 - STANDARD	
	 8.127	 0.357	100	TiO2 - STANDARD	
	 8.275	 0.357	100	TiO2 - STANDARD	
	 8.425	 0.357	100	TiO2 - STANDARD	
	 8.575	 0.357	100	TiO2 - STANDARD	
	 8.725	 0.357	100	TiO2 - STANDARD	
