	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.016	 0.210	100	100c_tio2	
	 0.167	 0.210	100	100c_tio2	
	 0.318	 0.210	100	100c_tio2	
	 0.466	 0.213	100	100c_tio2	
	 0.700	 0.220	100	100c_tio2	
	 0.767	 0.220	100	100c_tio2	
	 0.917	 0.226	100	100c_tio2	
	 1.067	 0.231	100	100c_tio2	
	 1.217	 0.240	100	100c_tio2	
	 1.366	 0.247	100	100c_tio2	
	 1.518	 0.254	100	100c_tio2	
	 1.669	 0.260	100	100c_tio2	
	 1.817	 0.267	100	100c_tio2	
	 1.969	 0.275	100	100c_tio2	
	 2.117	 0.280	100	100c_tio2	
	 2.268	 0.286	100	100c_tio2	
	 2.419	 0.294	100	100c_tio2	
	 2.566	 0.298	100	100c_tio2	
	 2.717	 0.303	100	100c_tio2	
	 2.866	 0.307	100	100c_tio2	
	 3.018	 0.315	100	100c_tio2	
	 3.168	 0.316	100	100c_tio2	
	 3.318	 0.319	100	100c_tio2	
	 3.467	 0.323	100	100c_tio2	
	 3.616	 0.329	100	100c_tio2	
	 3.767	 0.332	100	100c_tio2	
	 3.918	 0.337	100	100c_tio2	
	 4.067	 0.338	100	100c_tio2	
	 4.218	 0.338	100	100c_tio2	
	 4.368	 0.342	100	100c_tio2	
	 4.518	 0.343	100	100c_tio2	
	 4.696	 0.345	100	100c_tio2	
	 4.816	 0.347	100	100c_tio2	
	 4.967	 0.348	100	100c_tio2	
	 5.119	 0.350	100	100c_tio2	
	 5.268	 0.352	100	100c_tio2	
	 5.417	 0.352	100	100c_tio2	
	 5.571	 0.352	100	100c_tio2	
	 5.718	 0.351	100	100c_tio2	
	 5.867	 0.352	100	100c_tio2	
	 6.020	 0.352	100	100c_tio2	
	 6.170	 0.356	100	100c_tio2	
	 6.317	 0.356	100	100c_tio2	
	 6.467	 0.357	100	100c_tio2	
	 6.708	 0.358	100	100c_tio2	
	 6.766	 0.357	100	100c_tio2	
	 6.917	 0.357	100	100c_tio2	
	 7.068	 0.357	100	100c_tio2	
	 7.217	 0.357	100	100c_tio2	
	 7.367	 0.357	100	100c_tio2	
	 7.518	 0.361	100	100c_tio2	
	 7.669	 0.357	100	100c_tio2	
	 7.818	 0.357	100	100c_tio2	
	 7.968	 0.357	100	100c_tio2	
	 8.118	 0.357	100	100c_tio2	
	 8.273	 0.357	100	100c_tio2	
	 8.417	 0.357	100	100c_tio2	
	 8.567	 0.356	100	100c_tio2	
	 8.717	 0.357	100	100c_tio2	
	 8.867	 0.357	100	100c_tio2	
	 9.017	 0.356	100	100c_tio2	
	 9.169	 0.356	100	100c_tio2	
	 9.318	 0.356	100	100c_tio2	
	 9.468	 0.356	100	100c_tio2	
	 9.619	 0.356	100	100c_tio2	
	 9.767	 0.355	100	100c_tio2	
	 9.918	 0.355	100	100c_tio2	
	10.069	 0.356	100	100c_tio2	
	10.216	 0.355	100	100c_tio2	
	10.366	 0.355	100	100c_tio2	
	10.518	 0.355	100	100c_tio2	
	10.691	 0.358	100	100c_tio2	
	10.819	 0.355	100	100c_tio2	
	10.969	 0.355	100	100c_tio2	
	11.116	 0.356	100	100c_tio2	
	11.267	 0.355	100	100c_tio2	
	11.416	 0.355	100	100c_tio2	
	11.571	 0.355	100	100c_tio2	
	11.719	 0.356	100	100c_tio2	
	11.867	 0.355	100	100c_tio2	
	12.016	 0.356	100	100c_tio2	
	12.168	 0.357	100	100c_tio2	
	12.318	 0.356	100	100c_tio2	
	12.468	 0.355	100	100c_tio2	
	12.694	 0.358	100	100c_tio2	
	12.770	 0.356	100	100c_tio2	
	12.917	 0.356	100	100c_tio2	
	13.068	 0.356	100	100c_tio2	
	13.217	 0.356	100	100c_tio2	
	13.370	 0.355	100	100c_tio2	
	13.517	 0.356	100	100c_tio2	
	13.668	 0.356	100	100c_tio2	
	13.820	 0.356	100	100c_tio2	
	13.968	 0.352	100	100c_tio2	
	14.119	 0.352	100	100c_tio2	
	14.269	 0.356	100	100c_tio2	
	14.417	 0.357	100	100c_tio2	
	14.569	 0.356	100	100c_tio2	
	14.716	 0.357	100	100c_tio2	
	14.868	 0.357	100	100c_tio2	
	15.018	 0.357	100	100c_tio2	
	15.168	 0.353	100	100c_tio2	
	15.316	 0.353	100	100c_tio2	
	15.467	 0.353	100	100c_tio2	
	15.616	 0.353	100	100c_tio2	
	15.767	 0.353	100	100c_tio2	
	15.917	 0.352	100	100c_tio2	
	16.067	 0.353	100	100c_tio2	
	16.217	 0.353	100	100c_tio2	
	16.368	 0.353	100	100c_tio2	
	16.516	 0.353	100	100c_tio2	
	16.695	 0.354	100	100c_tio2	
	16.817	 0.352	100	100c_tio2	
	16.967	 0.352	100	100c_tio2	
	17.118	 0.352	100	100c_tio2	
	17.267	 0.352	100	100c_tio2	
	17.417	 0.352	100	100c_tio2	
	17.569	 0.352	100	100c_tio2	
	17.716	 0.352	100	100c_tio2	
	17.868	 0.351	100	100c_tio2	
	18.018	 0.352	100	100c_tio2	
	18.167	 0.352	100	100c_tio2	
	18.316	 0.352	100	100c_tio2	
	18.467	 0.351	100	100c_tio2	
	18.691	 0.354	100	100c_tio2	
	18.768	 0.351	100	100c_tio2	
	18.917	 0.351	100	100c_tio2	
	19.067	 0.352	100	100c_tio2	
	19.217	 0.348	100	100c_tio2	
	19.366	 0.347	100	100c_tio2	
	19.518	 0.347	100	100c_tio2	
	19.667	 0.347	100	100c_tio2	
	19.816	 0.347	100	100c_tio2	
	19.970	 0.348	100	100c_tio2	
	20.117	 0.348	100	100c_tio2	
	20.266	 0.352	100	100c_tio2	
	20.417	 0.352	100	100c_tio2	
	20.567	 0.352	100	100c_tio2	
	20.716	 0.348	100	100c_tio2	
	20.866	 0.348	100	100c_tio2	
	21.017	 0.347	100	100c_tio2	
	21.167	 0.348	100	100c_tio2	
	21.318	 0.348	100	100c_tio2	
	21.469	 0.348	100	100c_tio2	
	21.617	 0.352	100	100c_tio2	
	21.767	 0.352	100	100c_tio2	
	21.918	 0.351	100	100c_tio2	
	22.067	 0.352	100	100c_tio2	
	22.217	 0.352	100	100c_tio2	
	22.367	 0.348	100	100c_tio2	
	22.518	 0.348	100	100c_tio2	
