	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	 3.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	 6.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	 9.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	12.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	15.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	18.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	21.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	24.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	27.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	30.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	33.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	36.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	39.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	42.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	45.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	48.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	51.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	54.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	57.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	60.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	63.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	66.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	69.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	72.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	75.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	78.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	81.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	84.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	87.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	90.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	93.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	96.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	99.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	102.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	105.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	108.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	111.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	114.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	117.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	120.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	123.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	126.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	129.4	 0.0	 0.0	50	Plasma SiO2 - standard	
	132.4	 0.0	 0.0	50	Plasma SiO2 - standard	
