	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.024	 0.351	0	20 - STANDBY 200C	
	 0.174	 0.351	0	20 - STANDBY 200C	
	 0.324	 0.351	0	20 - STANDBY 200C	
	 0.474	 0.351	0	20 - STANDBY 200C	
	 0.624	 0.351	0	20 - STANDBY 200C	
	 0.774	 0.350	0	20 - STANDBY 200C	
	 0.924	 0.351	0	20 - STANDBY 200C	
	 1.074	 0.351	0	20 - STANDBY 200C	
	 1.224	 0.351	0	20 - STANDBY 200C	
	 1.374	 0.351	0	20 - STANDBY 200C	
	 1.524	 0.351	0	20 - STANDBY 200C	
	 1.706	 0.358	0	20 - STANDBY 200C	
	 1.824	 0.356	0	20 - STANDBY 200C	
	 1.974	 0.356	0	20 - STANDBY 200C	
	 2.124	 0.357	0	20 - STANDBY 200C	
	 2.274	 0.363	0	20 - STANDBY 200C	
	 2.424	 0.372	0	20 - STANDBY 200C	
	 2.574	 0.385	0	20 - STANDBY 200C	
	 2.724	 0.394	0	20 - STANDBY 200C	
	 2.874	 0.401	0	20 - STANDBY 200C	
	 3.024	 0.407	0	20 - STANDBY 200C	
	 3.174	 0.413	0	20 - STANDBY 200C	
	 3.324	 0.412	0	20 - STANDBY 200C	
	 3.474	 0.419	0	20 - STANDBY 200C	
	 3.706	 0.431	0	20 - STANDBY 200C	
	 3.774	 0.426	0	20 - STANDBY 200C	
	 3.924	 0.433	0	20 - STANDBY 200C	
	 4.074	 0.433	0	20 - STANDBY 200C	
	 4.224	 0.432	0	20 - STANDBY 200C	
	 4.374	 0.432	0	20 - STANDBY 200C	
	 4.524	 0.433	0	20 - STANDBY 200C	
	 4.674	 0.433	0	20 - STANDBY 200C	
	 4.824	 0.432	0	20 - STANDBY 200C	
	 4.974	 0.443	0	20 - STANDBY 200C	
	 5.124	 0.443	0	20 - STANDBY 200C	
	 5.274	 0.443	0	20 - STANDBY 200C	
