	Heater Time	Heater 6 	Heater 7	Heater 8	Heater 9	Heater 10	Heater 11	Heater 12	Heater 13	Heater 14	Heater 15	Heater 16	Heater 17	Program Time	MFC 1	MFC Time	Cycles Remaining	Recipe	Loop
	 0.0	200.0	200.3	200.0	199.9	36.1	57.9	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765962.8	 0.836	 0.091	185	Thermal Al2O3 STANDARD	
	 2.3	200.0	200.2	200.0	199.9	36.1	57.9	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765965.8	19.910	 3.091	185	Thermal Al2O3 STANDARD	
	 4.3	200.0	200.2	200.0	199.9	36.1	57.9	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765968.8	19.904	 6.090	185	Thermal Al2O3 STANDARD	
	 8.3	200.1	200.2	199.9	199.8	36.1	57.8	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765971.8	19.928	 9.091	185	Thermal Al2O3 STANDARD	
	10.3	200.0	200.1	200.0	199.9	36.1	57.8	27.6	 0.0	 0.0	28.0	 0.0	 0.0	765974.8	19.879	12.091	185	Thermal Al2O3 STANDARD	
	14.3	200.2	200.1	200.0	199.8	36.1	57.8	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765977.8	19.891	15.091	185	Thermal Al2O3 STANDARD	
	16.3	200.0	200.2	200.0	199.9	36.1	57.8	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765980.8	19.910	18.091	185	Thermal Al2O3 STANDARD	
	20.3	200.0	200.2	200.1	199.9	36.1	57.7	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765983.8	19.904	21.090	185	Thermal Al2O3 STANDARD	
	22.3	200.0	200.1	200.0	199.9	36.1	57.7	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765986.8	19.916	24.090	185	Thermal Al2O3 STANDARD	
	26.3	199.9	200.0	199.9	199.7	36.1	57.7	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765989.8	19.934	27.091	185	Thermal Al2O3 STANDARD	
	28.3	200.0	200.1	200.0	199.8	36.1	57.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765992.8	19.891	30.091	185	Thermal Al2O3 STANDARD	
	32.3	200.0	200.0	200.0	199.8	36.1	57.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765995.8	19.910	33.091	185	Thermal Al2O3 STANDARD	
	34.3	200.0	200.0	199.9	199.7	36.1	57.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	765998.8	19.855	36.091	185	Thermal Al2O3 STANDARD	
	38.3	200.0	200.0	200.0	199.8	36.1	57.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766001.8	19.922	39.090	185	Thermal Al2O3 STANDARD	
	40.3	200.0	200.0	200.0	199.8	36.1	57.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766004.8	19.855	42.090	185	Thermal Al2O3 STANDARD	
	44.3	200.0	199.9	200.0	199.8	36.1	57.5	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766007.8	19.959	45.091	185	Thermal Al2O3 STANDARD	
	46.3	199.8	199.7	199.8	199.6	36.0	57.4	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766010.8	19.922	48.091	185	Thermal Al2O3 STANDARD	
