	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.021	 0.371	185	Thermal Al2O3 STANDARD	
	 0.171	 0.344	185	Thermal Al2O3 STANDARD	
	 0.333	 0.326	185	Thermal Al2O3 STANDARD	
	 0.483	 0.305	185	Thermal Al2O3 STANDARD	
	 0.621	 0.289	185	Thermal Al2O3 STANDARD	
	 0.771	 0.276	185	Thermal Al2O3 STANDARD	
	 0.921	 0.265	185	Thermal Al2O3 STANDARD	
	 1.071	 0.256	185	Thermal Al2O3 STANDARD	
	 1.221	 0.249	185	Thermal Al2O3 STANDARD	
	 1.371	 0.238	185	Thermal Al2O3 STANDARD	
	 1.521	 0.231	185	Thermal Al2O3 STANDARD	
	 1.671	 0.229	185	Thermal Al2O3 STANDARD	
	 1.821	 0.226	185	Thermal Al2O3 STANDARD	
	 1.971	 0.220	185	Thermal Al2O3 STANDARD	
	 2.121	 0.215	185	Thermal Al2O3 STANDARD	
	 2.271	 0.214	185	Thermal Al2O3 STANDARD	
	 2.456	 0.220	185	Thermal Al2O3 STANDARD	
	 2.571	 0.226	185	Thermal Al2O3 STANDARD	
	 2.721	 0.232	185	Thermal Al2O3 STANDARD	
	 2.871	 0.239	185	Thermal Al2O3 STANDARD	
	 3.021	 0.246	185	Thermal Al2O3 STANDARD	
	 3.171	 0.249	185	Thermal Al2O3 STANDARD	
	 3.320	 0.253	185	Thermal Al2O3 STANDARD	
	 3.470	 0.256	185	Thermal Al2O3 STANDARD	
	 3.620	 0.259	185	Thermal Al2O3 STANDARD	
	 3.770	 0.262	185	Thermal Al2O3 STANDARD	
	 3.920	 0.262	185	Thermal Al2O3 STANDARD	
	 4.070	 0.265	185	Thermal Al2O3 STANDARD	
	 4.220	 0.265	185	Thermal Al2O3 STANDARD	
	 4.452	 0.270	185	Thermal Al2O3 STANDARD	
	 4.520	 0.269	185	Thermal Al2O3 STANDARD	
	 4.670	 0.269	185	Thermal Al2O3 STANDARD	
	 4.820	 0.269	185	Thermal Al2O3 STANDARD	
	 4.970	 0.274	185	Thermal Al2O3 STANDARD	
	 5.120	 0.273	185	Thermal Al2O3 STANDARD	
	 5.270	 0.273	185	Thermal Al2O3 STANDARD	
	 5.420	 0.274	185	Thermal Al2O3 STANDARD	
	 5.570	 0.274	185	Thermal Al2O3 STANDARD	
	 5.720	 0.274	185	Thermal Al2O3 STANDARD	
	 5.870	 0.274	185	Thermal Al2O3 STANDARD	
	 6.020	 0.274	185	Thermal Al2O3 STANDARD	
	 6.170	 0.274	185	Thermal Al2O3 STANDARD	
	 6.332	 0.274	185	Thermal Al2O3 STANDARD	
	 6.470	 0.282	185	Thermal Al2O3 STANDARD	
	 6.620	 0.282	185	Thermal Al2O3 STANDARD	
	 6.770	 0.282	185	Thermal Al2O3 STANDARD	
	 6.920	 0.282	185	Thermal Al2O3 STANDARD	
	 7.070	 0.277	185	Thermal Al2O3 STANDARD	
	 7.220	 0.277	185	Thermal Al2O3 STANDARD	
	 7.370	 0.277	185	Thermal Al2O3 STANDARD	
	 7.520	 0.277	185	Thermal Al2O3 STANDARD	
	 7.670	 0.277	185	Thermal Al2O3 STANDARD	
	 7.820	 0.277	185	Thermal Al2O3 STANDARD	
	 7.970	 0.277	185	Thermal Al2O3 STANDARD	
	 8.120	 0.277	185	Thermal Al2O3 STANDARD	
	 8.270	 0.276	185	Thermal Al2O3 STANDARD	
	 8.453	 0.278	185	Thermal Al2O3 STANDARD	
	 8.570	 0.276	185	Thermal Al2O3 STANDARD	
	 8.720	 0.276	185	Thermal Al2O3 STANDARD	
	 8.871	 0.276	185	Thermal Al2O3 STANDARD	
	 9.021	 0.276	185	Thermal Al2O3 STANDARD	
	 9.171	 0.276	185	Thermal Al2O3 STANDARD	
	 9.321	 0.276	185	Thermal Al2O3 STANDARD	
	 9.471	 0.276	185	Thermal Al2O3 STANDARD	
	 9.621	 0.276	185	Thermal Al2O3 STANDARD	
	 9.771	 0.276	185	Thermal Al2O3 STANDARD	
	 9.921	 0.276	185	Thermal Al2O3 STANDARD	
	10.071	 0.276	185	Thermal Al2O3 STANDARD	
	10.221	 0.276	185	Thermal Al2O3 STANDARD	
	10.455	 0.278	185	Thermal Al2O3 STANDARD	
	10.521	 0.277	185	Thermal Al2O3 STANDARD	
	10.671	 0.277	185	Thermal Al2O3 STANDARD	
	10.821	 0.276	185	Thermal Al2O3 STANDARD	
	10.971	 0.277	185	Thermal Al2O3 STANDARD	
	11.121	 0.277	185	Thermal Al2O3 STANDARD	
	11.271	 0.276	185	Thermal Al2O3 STANDARD	
	11.421	 0.277	185	Thermal Al2O3 STANDARD	
	11.571	 0.277	185	Thermal Al2O3 STANDARD	
	11.721	 0.276	185	Thermal Al2O3 STANDARD	
	11.871	 0.276	185	Thermal Al2O3 STANDARD	
	12.021	 0.276	185	Thermal Al2O3 STANDARD	
	12.171	 0.276	185	Thermal Al2O3 STANDARD	
	12.333	 0.276	185	Thermal Al2O3 STANDARD	
	12.471	 0.278	185	Thermal Al2O3 STANDARD	
	12.621	 0.276	185	Thermal Al2O3 STANDARD	
	12.771	 0.277	185	Thermal Al2O3 STANDARD	
	12.921	 0.277	185	Thermal Al2O3 STANDARD	
	13.071	 0.277	185	Thermal Al2O3 STANDARD	
	13.221	 0.277	185	Thermal Al2O3 STANDARD	
	13.371	 0.277	185	Thermal Al2O3 STANDARD	
	13.521	 0.277	185	Thermal Al2O3 STANDARD	
	13.671	 0.277	185	Thermal Al2O3 STANDARD	
	13.821	 0.277	185	Thermal Al2O3 STANDARD	
	13.971	 0.277	185	Thermal Al2O3 STANDARD	
	14.121	 0.277	185	Thermal Al2O3 STANDARD	
	14.271	 0.277	185	Thermal Al2O3 STANDARD	
	14.455	 0.277	185	Thermal Al2O3 STANDARD	
	14.571	 0.277	185	Thermal Al2O3 STANDARD	
	14.721	 0.277	185	Thermal Al2O3 STANDARD	
	14.871	 0.277	185	Thermal Al2O3 STANDARD	
	15.021	 0.277	185	Thermal Al2O3 STANDARD	
	15.171	 0.277	185	Thermal Al2O3 STANDARD	
	15.321	 0.277	185	Thermal Al2O3 STANDARD	
	15.471	 0.277	185	Thermal Al2O3 STANDARD	
	15.621	 0.277	185	Thermal Al2O3 STANDARD	
	15.771	 0.277	185	Thermal Al2O3 STANDARD	
	15.921	 0.276	185	Thermal Al2O3 STANDARD	
	16.071	 0.276	185	Thermal Al2O3 STANDARD	
	16.221	 0.276	185	Thermal Al2O3 STANDARD	
	16.456	 0.278	185	Thermal Al2O3 STANDARD	
	16.521	 0.276	185	Thermal Al2O3 STANDARD	
	16.671	 0.276	185	Thermal Al2O3 STANDARD	
	16.821	 0.276	185	Thermal Al2O3 STANDARD	
	16.971	 0.276	185	Thermal Al2O3 STANDARD	
	17.121	 0.276	185	Thermal Al2O3 STANDARD	
	17.271	 0.276	185	Thermal Al2O3 STANDARD	
	17.421	 0.276	185	Thermal Al2O3 STANDARD	
	17.571	 0.276	185	Thermal Al2O3 STANDARD	
	17.721	 0.276	185	Thermal Al2O3 STANDARD	
	17.871	 0.276	185	Thermal Al2O3 STANDARD	
	18.021	 0.276	185	Thermal Al2O3 STANDARD	
	18.171	 0.276	185	Thermal Al2O3 STANDARD	
	18.334	 0.276	185	Thermal Al2O3 STANDARD	
	18.471	 0.278	185	Thermal Al2O3 STANDARD	
	18.621	 0.276	185	Thermal Al2O3 STANDARD	
	18.771	 0.276	185	Thermal Al2O3 STANDARD	
	18.921	 0.277	185	Thermal Al2O3 STANDARD	
	19.071	 0.277	185	Thermal Al2O3 STANDARD	
	19.221	 0.277	185	Thermal Al2O3 STANDARD	
	19.371	 0.276	185	Thermal Al2O3 STANDARD	
	19.521	 0.277	185	Thermal Al2O3 STANDARD	
	19.671	 0.277	185	Thermal Al2O3 STANDARD	
	19.821	 0.277	185	Thermal Al2O3 STANDARD	
	19.971	 0.277	185	Thermal Al2O3 STANDARD	
	20.121	 0.277	185	Thermal Al2O3 STANDARD	
	20.271	 0.276	185	Thermal Al2O3 STANDARD	
	20.457	 0.279	185	Thermal Al2O3 STANDARD	
	20.571	 0.276	185	Thermal Al2O3 STANDARD	
	20.721	 0.276	185	Thermal Al2O3 STANDARD	
	20.870	 0.276	185	Thermal Al2O3 STANDARD	
	21.020	 0.276	185	Thermal Al2O3 STANDARD	
	21.170	 0.276	185	Thermal Al2O3 STANDARD	
	21.320	 0.277	185	Thermal Al2O3 STANDARD	
	21.470	 0.276	185	Thermal Al2O3 STANDARD	
	21.620	 0.277	185	Thermal Al2O3 STANDARD	
	21.770	 0.277	185	Thermal Al2O3 STANDARD	
	21.920	 0.277	185	Thermal Al2O3 STANDARD	
	22.070	 0.277	185	Thermal Al2O3 STANDARD	
	22.220	 0.277	185	Thermal Al2O3 STANDARD	
	22.452	 0.277	185	Thermal Al2O3 STANDARD	
	22.520	 0.277	185	Thermal Al2O3 STANDARD	
	22.670	 0.277	185	Thermal Al2O3 STANDARD	
	22.820	 0.277	185	Thermal Al2O3 STANDARD	
	22.970	 0.277	185	Thermal Al2O3 STANDARD	
	23.120	 0.277	185	Thermal Al2O3 STANDARD	
	23.270	 0.277	185	Thermal Al2O3 STANDARD	
	23.420	 0.277	185	Thermal Al2O3 STANDARD	
	23.570	 0.277	185	Thermal Al2O3 STANDARD	
	23.720	 0.277	185	Thermal Al2O3 STANDARD	
	23.870	 0.277	185	Thermal Al2O3 STANDARD	
	24.020	 0.277	185	Thermal Al2O3 STANDARD	
	24.170	 0.277	185	Thermal Al2O3 STANDARD	
	24.333	 0.277	185	Thermal Al2O3 STANDARD	
	24.470	 0.277	185	Thermal Al2O3 STANDARD	
	24.620	 0.276	185	Thermal Al2O3 STANDARD	
	24.770	 0.276	185	Thermal Al2O3 STANDARD	
	24.920	 0.276	185	Thermal Al2O3 STANDARD	
	25.070	 0.276	185	Thermal Al2O3 STANDARD	
	25.220	 0.276	185	Thermal Al2O3 STANDARD	
	25.370	 0.276	185	Thermal Al2O3 STANDARD	
	25.520	 0.276	185	Thermal Al2O3 STANDARD	
	25.670	 0.276	185	Thermal Al2O3 STANDARD	
	25.820	 0.276	185	Thermal Al2O3 STANDARD	
	25.970	 0.276	185	Thermal Al2O3 STANDARD	
	26.120	 0.277	185	Thermal Al2O3 STANDARD	
	26.271	 0.276	185	Thermal Al2O3 STANDARD	
	26.455	 0.277	185	Thermal Al2O3 STANDARD	
	26.571	 0.276	185	Thermal Al2O3 STANDARD	
	26.721	 0.276	185	Thermal Al2O3 STANDARD	
	26.872	 0.276	185	Thermal Al2O3 STANDARD	
	27.021	 0.277	185	Thermal Al2O3 STANDARD	
	27.172	 0.277	185	Thermal Al2O3 STANDARD	
	27.321	 0.277	185	Thermal Al2O3 STANDARD	
	27.471	 0.277	185	Thermal Al2O3 STANDARD	
	27.621	 0.277	185	Thermal Al2O3 STANDARD	
	27.771	 0.277	185	Thermal Al2O3 STANDARD	
	27.921	 0.276	185	Thermal Al2O3 STANDARD	
	28.071	 0.276	185	Thermal Al2O3 STANDARD	
	28.221	 0.277	185	Thermal Al2O3 STANDARD	
	28.455	 0.279	185	Thermal Al2O3 STANDARD	
	28.521	 0.276	185	Thermal Al2O3 STANDARD	
	28.671	 0.276	185	Thermal Al2O3 STANDARD	
	28.822	 0.276	185	Thermal Al2O3 STANDARD	
	28.971	 0.277	185	Thermal Al2O3 STANDARD	
	29.121	 0.277	185	Thermal Al2O3 STANDARD	
	29.271	 0.277	185	Thermal Al2O3 STANDARD	
	29.421	 0.277	185	Thermal Al2O3 STANDARD	
	29.571	 0.277	185	Thermal Al2O3 STANDARD	
	29.721	 0.277	185	Thermal Al2O3 STANDARD	
	29.871	 0.277	185	Thermal Al2O3 STANDARD	
	30.021	 0.277	185	Thermal Al2O3 STANDARD	
	30.171	 0.277	185	Thermal Al2O3 STANDARD	
	30.334	 0.276	185	Thermal Al2O3 STANDARD	
