	Pressure Time	Pressure 	Cycles Remaining	Recipe	Loop
	 0.117	 0.397	70	MV standard TiO2 80deg	
	 0.281	 0.384	70	MV standard TiO2 80deg	
	 0.418	 0.361	70	MV standard TiO2 80deg	
	 0.569	 0.357	70	MV standard TiO2 80deg	
	 0.719	 0.349	70	MV standard TiO2 80deg	
	 0.868	 0.338	70	MV standard TiO2 80deg	
	 1.020	 0.333	70	MV standard TiO2 80deg	
	 1.170	 0.328	70	MV standard TiO2 80deg	
	 1.319	 0.328	70	MV standard TiO2 80deg	
	 1.467	 0.328	70	MV standard TiO2 80deg	
	 1.618	 0.323	70	MV standard TiO2 80deg	
	 1.768	 0.328	70	MV standard TiO2 80deg	
	 1.919	 0.328	70	MV standard TiO2 80deg	
	 2.070	 0.328	70	MV standard TiO2 80deg	
	 2.219	 0.332	70	MV standard TiO2 80deg	
	 2.368	 0.332	70	MV standard TiO2 80deg	
	 2.519	 0.332	70	MV standard TiO2 80deg	
	 2.700	 0.339	70	MV standard TiO2 80deg	
	 2.819	 0.338	70	MV standard TiO2 80deg	
	 2.968	 0.342	70	MV standard TiO2 80deg	
	 3.118	 0.342	70	MV standard TiO2 80deg	
	 3.269	 0.342	70	MV standard TiO2 80deg	
	 3.420	 0.347	70	MV standard TiO2 80deg	
	 3.572	 0.347	70	MV standard TiO2 80deg	
	 3.720	 0.347	70	MV standard TiO2 80deg	
	 3.869	 0.347	70	MV standard TiO2 80deg	
	 4.019	 0.352	70	MV standard TiO2 80deg	
	 4.169	 0.351	70	MV standard TiO2 80deg	
	 4.320	 0.351	70	MV standard TiO2 80deg	
	 4.469	 0.352	70	MV standard TiO2 80deg	
	 4.699	 0.358	70	MV standard TiO2 80deg	
	 4.768	 0.352	70	MV standard TiO2 80deg	
	 4.918	 0.356	70	MV standard TiO2 80deg	
	 5.069	 0.355	70	MV standard TiO2 80deg	
	 5.218	 0.355	70	MV standard TiO2 80deg	
	 5.369	 0.356	70	MV standard TiO2 80deg	
	 5.519	 0.356	70	MV standard TiO2 80deg	
	 5.668	 0.356	70	MV standard TiO2 80deg	
